Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,RecordTypeId,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Level__c,Languages__c,Point_Man__c
0033i000003tQ5fAAE,,,,Bohrisch,,Mr.,Bohrisch,0123i000000H5iSAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0053i000000urgcAAA,2019-08-07T20:20:55.000+0000,0053i000000urgcAAA,2019-08-07T20:20:55.000+0000,0053i000000urgcAAA,2019-08-07T20:20:55.000+0000,,,,2019-08-07T20:20:55.000+0000,2019-08-07T20:20:55.000+0000,,,,/services/images/photo/0033i000003tQ5fAAE,,,Pending,,,,
0033i000003tQ5kAAE,,,,Cary,,Mr.,Cary,0123i000000H5iSAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0053i000000urgcAAA,2019-08-07T20:21:36.000+0000,0053i000000urgcAAA,2019-08-07T20:21:36.000+0000,0053i000000urgcAAA,2019-08-07T20:21:36.000+0000,,,,2019-08-07T20:21:36.000+0000,2019-08-07T20:21:36.000+0000,,,,/services/images/photo/0033i000003tQ5kAAE,,,Pending,,,,
0033i000002HtZSAA0,,,0013i0000036PQUAA2,Frank,Edna,Ms.,Edna Frank,,,,,,,,,,,"345 Shoreline Park
Mountain View, CA 94043
USA",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""345 Shoreline Park\nMountain View, CA 94043\nUSA""}",(650) 867-3450,(650) 867-9895,(650) 867-7686,,,,,efrank@genepoint.com,"VP, Technology",Technology,,Partner,1941-09-03,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZSAA0,,,Pending,,Primary,English,
0033i000002HtZPAA0,,,0013i0000036PQSAA2,James,Ashley,Ms.,Ashley James,,,,,,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""Kings Park, 17th Avenue, Team Valley Trading Estate,\nGateshead, Tyne and Wear NE26 3HS\nUnited Kingdom""}",+44 191 4956203,+44 191 4956620,+44 191 3456234,,,,,ajames@uog.com,"VP, Finance",Finance,,Public Relations,1945-10-20,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZPAA0,,,Pending,,Primary,English,
0033i000002HtZMAA0,,,0013i0000036PQQAA2,Davis,Josh,Mr.,Josh Davis,,,,,,,,,,,"621 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""621 SW 5th Avenue Suite 400\nPortland, Oregon 97204\nUnited States""}",(503) 421-7800,(503) 421-7801,(503) 421-4387,,,,,j.davis@expresslt.net,"Director, Warehouse Mgmt",Warehouse Mgmt,,Word of mouth,1947-09-25,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZMAA0,,,Pending,,Secondary,English,
0033i000002HtZTAA0,,,0013i0000036PQPAA2,Green,Avi,Mr.,Avi Green,,,,,,,,,,,"1302 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""1302 Avenue of the Americas \nNew York, NY 10019\nUSA""}",(212) 842-5500,(212) 842-5501,(212) 842-2383,,,(212) 842-5428,,agreen@uog.com,CFO,Finance,Chris Nobel,Public Relations,1933-01-21,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZTAA0,,,Pending,,Primary,English,
0033i000002HtZRAA0,,,0013i0000036PQTAA2,D'Cruz,Liz,Ms.,Liz D'Cruz,,,,,,,,,,,"10 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""10 Tagore Lane\nSingapore, Singapore 787472\nSingapore""}",(650) 450-8810,(650) 450-8820,(650) 345-6637,,,,,ldcruz@uog.com,"VP, Production",Production,,Public Relations,1961-03-29,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZRAA0,,,Pending,,Secondary,English,
0033i000002HtZEAA0,,,0013i0000036PQLAA2,Rogers,Jack,Mr.,Jack Rogers,,,,,,,,,,,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,"{""city"":""Burlington"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27215"",""state"":""NC"",""street"":""525 S. Lexington Ave""}",(336) 222-7000,(336) 222-8000,,,,,,jrogers@burlington.com,"VP, Facilities",,,Web,,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZEAA0,,,Pending,,,,
0033i000002HtZDAA0,,,0013i0000036PQKAA2,Forbes,Sean,Mr.,Sean Forbes,,,,,,,,,,,"312 Constitution Place
Austin, TX 78767
USA",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""312 Constitution Place\nAustin, TX 78767\nUSA""}",(512) 757-6000,(512) 757-9000,(512) 757-4561,,,,,sean@edge.com,CFO,Finance,,Trade Show,1946-03-22,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZDAA0,,,Pending,,Secondary,English,
0033i000002HtZUAA0,,,0013i0000036PQVAA2,Nedaerk,Siddartha,Ms.,Siddartha Nedaerk,,,,,,,,,,,The Landmark @ One Market,San Francisco,CA,94087,US,,,,"{""city"":""San Francisco"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""94087"",""state"":""CA"",""street"":""The Landmark @ One Market""}",,,,,,,,,,,,,,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZUAA0,,,Pending,,,,
0033i000002HtZCAA0,,,0013i0000036PQKAA2,Gonzalez,Rose,Ms.,Rose Gonzalez,,,,,,,,,,,"313 Constitution Place
Austin, TX 78767
USA",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""313 Constitution Place\nAustin, TX 78767\nUSA""}",(512) 757-6000,(512) 757-9000,(512) 757-9340,,,,,rose@edge.com,"SVP, Procurement",Procurement,,Trade Show,1967-06-24,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZCAA0,,,Pending,,Primary,English,
0033i000002HtZNAA0,,,0013i0000036PQRAA2,Grey,Jane,Ms.,Jane Grey,,,,,,,,,,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""888 N Euclid \nHallis Center, Room 501\nTucson, AZ 85721\nUnited States""}",(520) 773-9050,(520) 773-9060,(520) 773-4539,,,,,jane_gray@uoa.edu,Dean of Administration,Administration,,Word of mouth,1943-08-12,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZNAA0,,,Pending,,Primary,English,
0033i000002HtZVAA0,,,0013i0000036PQVAA2,Llorrac,Jake,Mr.,Jake Llorrac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZVAA0,,,Pending,,,,
0033i000002HtZJAA0,,,0013i0000036PQPAA2,Pavlova,Stella,Ms.,Stella Pavlova,,,,,,,,,,,"1303 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,"{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""1303 Avenue of the Americas \nNew York, NY 10019\nUSA""}",(212) 842-5500,(212) 842-5501,(212) 842-5501,,(212) 842-5543,(212) 842-5589,,spavlova@uog.com,"SVP, Production",Production,Audrey Haynes,Public Relations,1942-10-15,,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,,,,,,,,,/services/images/photo/0033i000002HtZJAA0,,,Pending,,Tertiary,English,
