Id,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,RecordTypeId,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Address,Phone,MobilePhone,Fax,Email,Website,PhotoUrl,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,IsUnreadByOwner,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawContactId,CleanStatus,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,IndividualId,SICCode__c,ProductInterest__c,Primary__c,CurrentGenerators__c,NumberofLocations__c
00Q3i000001hmJJEAY,,,Boxer,Bertha,Ms.,Bertha Boxer,,Director of Vendor Relations,Farmers Coop. of Florida,321 Westcott Building,Tallahassee,FL,32306,USA,,,,"{""city"":""Tallahassee"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32306"",""state"":""FL"",""street"":""321 Westcott Building""}",(850) 644-4200,,(850) 644-4300,bertha@fcof.net,,/services/images/photo/00Q3i000001hmJJEAY,,Web,Working - Contacted,Agriculture,Hot,900750000,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJKEAY,,,Cotton,Phyllis,Ms,Phyllis Cotton,,CFO,Abbott Insurance,,,VA,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""VA"",""street"":null}",(703) 757-1000,,,pcotton@abbottins.net,,/services/images/photo/00Q3i000001hmJKEAY,,Web,Open - Not Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJLEAY,,,Glimpse,Jeff,Mr,Jeff Glimpse,,"SVP, Procurement",Jackson Controls,,,,,Taiwan,,,,"{""city"":null,""country"":""Taiwan"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",886-2-25474189,,,jeffg@jackson.com,,/services/images/photo/00Q3i000001hmJLEAY,,Phone Inquiry,Open - Not Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJMEAY,,,Braund,Mike,Mr,Mike Braund,,"VP, Technology",Metropolitan Health Services,,,MD,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""MD"",""street"":null}",(410) 381-2334,,,likeb@metro.com,,/services/images/photo/00Q3i000001hmJMEAY,,Purchased List,Open - Not Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJNEAY,,,Feager,Patricia,Ms,Patricia Feager,,CEO,International Shipping Co.,,,NC,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""NC"",""street"":null}",(336) 777-1970,,,patricia_feager@is.com,,/services/images/photo/00Q3i000001hmJNEAY,,Partner Referral,Working - Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJOEAY,,,Mcclure,Brenda,Ms,Brenda Mcclure,,CFO,Cadinal Inc.,,,IL,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""IL"",""street"":null}",(847) 262-5000,,,brenda@cardinal.net,,/services/images/photo/00Q3i000001hmJOEAY,,Web,Working - Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJPEAY,,,Maccleod,Violet,Ms,Violet Maccleod,,"VP, Finance",Emerson Transport,,,GA,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""GA"",""street"":null}",(770) 395-2370,,,violetm@emersontransport.com,,/services/images/photo/00Q3i000001hmJPEAY,,Phone Inquiry,Working - Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJQEAY,,,Snyder,Kathy,Ms,Kathy Snyder,,Regional General Manager,TNR Corp.,,,CT,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""CT"",""street"":null}",(860) 273-0123,,,ksynder@tnr.net,,/services/images/photo/00Q3i000001hmJQEAY,,Purchased List,Working - Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJREAY,,,James,Tom,Mr,Tom James,,"SVP, Production",Delphi Chemicals,,,MN,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""MN"",""street"":null}",(952) 346-3500,,,tom.james@delphi.chemicals.com,,/services/images/photo/00Q3i000001hmJREAY,,Web,Working - Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
00Q3i000001hmJSEAY,,,Brownell,Shelly,Ms,Shelly Brownell,,"SVP, Technology",Western Telecommunications Corp.,,,CA,,USA,,,,"{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""CA"",""street"":null}",(408) 326-9000,,,shellyb@westerntelecom.com,,/services/images/photo/00Q3i000001hmJSEAY,,Partner Referral,Working - Contacted,,,,,0053i000000urgcAAA,,,,,,1,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:44:30.000+0000,0053i000000urgcAAA,2019-07-13T01:47:23.000+0000,,,,,,Pending,,,,,,2768,GC5000 series,Yes,All,130
